Iteration: 168, total timesteps: 67800, total time: 562.6, FPS: 120.5, mean reward: -7.1, min/max reward: -35.2/58.2
Iteration: 169, total timesteps: 68200, total time: 566.2, FPS: 120.5, mean reward: -7.9, min/max reward: -35.2/58.2
Iteration: 170, total timesteps: 68600, total time: 568.5, FPS: 120.7, mean reward: -7.9, min/max reward: -35.2/58.2
Iteration: 171, total timesteps: 69000, total time: 572.4, FPS: 120.6, mean reward: -7.3, min/max reward: -35.2/58.2
Iteration: 172, total timesteps: 69400, total time: 576.2, FPS: 120.4, mean reward: -7.1, min/max reward: -35.2/58.2
Iteration: 173, total timesteps: 69800, total time: 580.0, FPS: 120.3, mean reward: -7.5, min/max reward: -35.2/58.2
Iteration: 174, total timesteps: 70200, total time: 583.7, FPS: 120.3, mean reward: -7.6, min/max reward: -33.5/58.2
Iteration: 175, total timesteps: 70600, total time: 588.0, FPS: 120.1, mean reward: -8.9, min/max reward: -33.5/57.1
Iteration: 176, total timesteps: 71000, total time: 590.2, FPS: 120.3, mean reward: -8.9, min/max reward: -33.5/57.1
Iteration: 177, total timesteps: 71400, total time: 594.1, FPS: 120.2, mean reward: -9.5, min/max reward: -32.8/57.1
Iteration: 178, total timesteps: 71800, total time: 597.9, FPS: 120.1, mean reward: -8.4, min/max reward: -32.8/57.1
Iteration: 179, total timesteps: 72200, total time: 601.8, FPS: 120.0, mean reward: -10.0, min/max reward: -48.3/57.1
Iteration: 180, total timesteps: 72600, total time: 605.5, FPS: 119.9, mean reward: -10.1, min/max reward: -48.3/57.1
Iteration: 181, total timesteps: 73000, total time: 608.6, FPS: 119.9, mean reward: -11.9, min/max reward: -48.3/55.7
Iteration: 182, total timesteps: 73400, total time: 610.3, FPS: 120.3, mean reward: -11.9, min/max reward: -48.3/55.7
Iteration: 183, total timesteps: 73800, total time: 613.6, FPS: 120.3, mean reward: -11.9, min/max reward: -51.8/55.7
Iteration: 184, total timesteps: 74200, total time: 616.9, FPS: 120.3, mean reward: -12.0, min/max reward: -51.8/55.7
Iteration: 185, total timesteps: 74600, total time: 620.2, FPS: 120.3, mean reward: -12.4, min/max reward: -51.8/55.5
Iteration: 186, total timesteps: 75000, total time: 623.5, FPS: 120.3, mean reward: -12.9, min/max reward: -51.8/55.5
Iteration: 187, total timesteps: 75400, total time: 627.0, FPS: 120.3, mean reward: -11.4, min/max reward: -51.8/56.6
Iteration: 188, total timesteps: 75800, total time: 629.1, FPS: 120.5, mean reward: -11.4, min/max reward: -51.8/56.6
Iteration: 189, total timesteps: 76200, total time: 632.8, FPS: 120.4, mean reward: -9.8, min/max reward: -51.8/56.6
Iteration: 190, total timesteps: 76600, total time: 636.5, FPS: 120.3, mean reward: -8.8, min/max reward: -51.8/56.6
Iteration: 191, total timesteps: 77000, total time: 640.3, FPS: 120.3, mean reward: -9.1, min/max reward: -51.8/56.6
Iteration: 192, total timesteps: 77400, total time: 643.9, FPS: 120.2, mean reward: -8.3, min/max reward: -51.8/61.6
Iteration: 193, total timesteps: 77800, total time: 647.7, FPS: 120.1, mean reward: -5.3, min/max reward: -51.8/61.6
Iteration: 194, total timesteps: 78200, total time: 649.8, FPS: 120.3, mean reward: -5.3, min/max reward: -51.8/61.6
Iteration: 195, total timesteps: 78600, total time: 653.6, FPS: 120.3, mean reward: -2.7, min/max reward: -51.8/61.6
Iteration: 196, total timesteps: 79000, total time: 657.3, FPS: 120.2, mean reward: -2.0, min/max reward: -51.8/61.6
Iteration: 197, total timesteps: 79400, total time: 660.5, FPS: 120.2, mean reward: -0.4, min/max reward: -43.8/61.6
Iteration: 198, total timesteps: 79800, total time: 663.6, FPS: 120.3, mean reward: 1.2, min/max reward: -43.8/61.6
Iteration: 199, total timesteps: 80200, total time: 666.9, FPS: 120.3, mean reward: 1.8, min/max reward: -36.7/61.6
Iteration: 200, total timesteps: 80600, total time: 668.6, FPS: 120.5, mean reward: 1.8, min/max reward: -36.7/61.6
Iteration: 201, total timesteps: 81000, total time: 671.9, FPS: 120.5, mean reward: 3.1, min/max reward: -36.7/61.6
